onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0182628631592	1	heat	48	1	0	2	45	2541.8	55
34.8738839626312	1	heat	48	2	0	2	45	4027.3	55
48.6784739494324	1	heat	48	3	0	2	45	5407.8	55
60.3713448047638	1	heat	48	4	0	2	45	6577.1	55
74.8070468902588	1	heat	48	5	0	2	45	8020.7	55
89.8734078407288	1	heat	48	6	0	2	45	9527.3	55
101.356000900269	1	heat	48	7	0	2	45	10675.6	55
112.62845993042	1	heat	48	8	0	2	45	11802.8	55
124.952320814133	1	heat	48	9	0	2	45	13035.2	55
136.855045795441	1	heat	48	10	0	2	45	14225.5	55
150.869867801666	1	heat	48	11	0	2	45	15626.9	55
164.044095993042	1	heat	48	12	0	2	45	16944.4	55
175.106123924255	1	heat	48	13	0	2	45	18050.6	55
187.639778852463	1	heat	48	14	0	2	45	19303.9	55
201.22642493248	1	heat	48	15	0	2	45	20662.6	55
214.180193901062	1	heat	48	16	0	2	45	21958.0	55
228.825868844986	1	heat	48	17	0	2	45	23422.5	55
241.569516897202	1	heat	48	18	0	2	45	24696.9	55
254.95413184166	1	heat	48	19	0	2	45	26035.4	55
269.170454978943	1	heat	48	20	0	2	45	27457.0	55
