onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.02	1	heat	48	1	0	4	55	2542.0	70
31.922	1	heat	48	2	0	4	55	3732.2	70
42.984	1	heat	48	3	0	4	55	4838.4	70
57.208	1	heat	48	4	0	4	55	6260.8	70
70.374	1	heat	48	5	0	4	55	7577.4	70
84.178	1	heat	48	6	0	4	55	8957.8	70
98.193	1	heat	48	7	0	4	55	10359.3	70
111.787	1	heat	48	8	0	4	55	11718.7	70
125.171	1	heat	48	9	0	4	55	13057.1	70
136.653	1	heat	48	10	0	4	55	14205.3	70
148.976	1	heat	48	11	0	4	55	15437.6	70
160.669	1	heat	48	12	0	4	55	16606.9	70
173.413	1	heat	48	13	0	4	55	17881.3	70
188.058	1	heat	48	14	0	4	55	19345.8	70
200.171	1	heat	48	15	0	4	55	20557.1	70
213.125	1	heat	48	16	0	4	55	21852.5	70
227.981	1	heat	48	17	0	4	55	23338.1	70
242.417	1	heat	48	18	0	4	55	24781.7	70
253.689	1	heat	48	19	0	4	55	25908.9	70
266.223	1	heat	48	20	0	4	55	27162.3	70
