onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0164239406586	1	heat	48	1	1	5	40	2541.7	95
32.1284189224243	1	heat	48	2	1	5	40	3752.9	95
44.452535867691	1	heat	48	3	1	5	40	4985.3	95
56.9859719276428	1	heat	48	4	1	5	40	6238.6	95
71.6316959857941	1	heat	48	5	1	5	40	7703.2	95
83.5345718860626	1	heat	48	6	1	5	40	8893.5	95
97.5486009120941	1	heat	48	7	1	5	40	10294.9	95
112.61487698555	1	heat	48	8	1	5	40	11801.5	95
126.839758872986	1	heat	48	9	1	5	40	13224.0	95
140.645354032516	1	heat	48	10	1	5	40	14604.5	95
153.388920068741	1	heat	48	11	1	5	40	15878.9	95
166.340432882309	1	heat	48	12	1	5	40	17174.1	95
177.402726888657	1	heat	48	13	1	5	40	18280.3	95
191.827873945236	1	heat	48	14	1	5	40	19722.8	95
205.212282896042	1	heat	48	15	1	5	40	21061.2	95
216.484565973282	1	heat	48	16	1	5	40	22188.5	95
228.177401065826	1	heat	48	17	1	5	40	23357.8	95
243.032513856888	1	heat	48	18	1	5	40	24843.3	95
254.512459039688	1	heat	48	19	1	5	40	25991.3	95
267.687217950821	1	heat	48	20	1	5	40	27308.7	95
