onset	duration	trial_type	temperature	trial_id	reliabilityrun	patch	TE	onset_scr	rating
20.0204901695251	1	heat	48	1	0	4	55	2542.1	80
33.8253691196442	1	heat	48	2	0	4	55	3922.6	80
46.1491010189056	1	heat	48	3	0	4	55	5154.9	80
58.2626531124115	1	heat	48	4	0	4	55	6366.3	80
71.2168920040131	1	heat	48	5	0	4	55	7661.7	80
85.4305620193481	1	heat	48	6	0	4	55	9083.1	80
96.4905049800873	1	heat	48	7	0	4	55	10189.1	80
111.136464118958	1	heat	48	8	0	4	55	11653.7	80
123.880280017853	1	heat	48	9	0	4	55	12928.0	80
135.57341504097	1	heat	48	10	0	4	55	14097.4	80
150.429110050201	1	heat	48	11	0	4	55	15582.9	80
164.444194078445	1	heat	48	12	0	4	55	16984.4	80
178.038858175278	1	heat	48	13	0	4	55	18343.9	80
192.474292993546	1	heat	48	14	0	4	55	19787.4	80
204.374675035477	1	heat	48	15	0	4	55	20977.5	80
215.646995067596	1	heat	48	16	0	4	55	22104.7	80
229.031834125519	1	heat	48	17	0	4	55	23443.2	80
241.56535410881	1	heat	48	18	0	4	55	24696.5	80
254.73930811882	1	heat	48	19	0	4	55	26013.9	80
266.221706151962	1	heat	48	20	0	4	55	27162.2	80
